stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,4.79,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0.37,7.77,0.37,0,0.37,0.37,0.37,0,0.37,0,0,0.37,0.37,0,0.74,0,0.37,0
3Month,0.1,0.42,3.12,0,0.21,0,0.21,0.52,0.21,0,0.1,0.1,0.1,0,0.21,0,1.56,0,2.91
