stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0.85,0.28,0,0,0,0,0.28
21Day,0,0,0.37,0,0.37,0,0,0,0,15.54,0,0.37,0.37,0,1.11,0,0,0,2.22,0,0,0,0.37,0.37,9.25
3Month,0,0.31,0,0,0,0.1,0.42,0.1,0.1,0.62,0.1,0.1,0.31,0.21,0.31,0.1,0,0.21,0.1,0,0.1,0,0,0.21,16.43
22Month,0.27,0,0,0.14,0,0,0.41,1.23,0.27,0,0.14,0,0.14,0,0.41,0,0.14,0,0,0,0,0.14,0,0,3.14
