stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21Day,0,0,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,3.7
3Month,0.1,0.52,0.42,0.62,0.31,0.21,0.1,0.1,0.31,5.51,0.62,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.21,25.28
22Month,0,0.41,0,0.41,0,0,0,0,0,0.68,0,0,0,0,0,0.14,0.14,0,0,0,1.91
