stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,3,10,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.41,0,3.1,0.85,0,0,0,0,0,0,0,0,0,0.28,1.41,1.13,5.07,0,0,0,0.56,3.1,0,0.28,4.51,0,0,0.28,0,0,0
21Day,1.11,1.48,0,4.81,0,0.37,0,0,0,0,0.37,0,0,1.11,0.37,3.7,1.11,11.1,0,2.22,0,2.59,2.96,0,2.59,5.18,0.37,0.37,1.11,0,0,0
3Month,0.21,2.39,0.1,7.28,0,0,0,1.77,0.31,0,3.74,0.94,0.1,1.87,0.31,5.41,3.22,5.62,1.25,0.21,0.42,0.1,0.1,0.1,1.04,1.14,0.1,3.95,0.21,2.5,0.83,0.21
22Month,0,1.37,0.27,2.19,0,0,0.14,0.68,0.27,1.5,7.24,0.14,0.27,1.09,0,0.68,2.05,3.42,0,0.41,0.14,0.14,0,0,0.27,0.27,0.14,0.68,0.55,0,0,0.41
