stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0.56,0.56,0,0
21Day,0.74,0,0.37,0,0,0,0.37,0,0.37,0,0,0
3Month,0.31,0.1,0.21,0.21,0.1,0.21,0,0.31,0,0,0.1,0.42
22Month,0.14,0,0.55,0.55,0,0,0,0.14,0,0,0,0
