stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,12,0,0,1,4,117,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,2.25,1.13,0,3.38,0.56,1.41,0,0.56,0,0.28,0,0,0.28,0,1.13,3.95,0,5.92,0,0.28,0.56,10.43,19.73,0,0,2.82,0.28,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,4.44,0,0.74,0,1.48,0,0.37,0.37,0.37,0.37,0,0,2.22,0.37,3.7,0,0,0,1.85,1.85,0,0,1.11,0.37,0,0.37,0.37,0.37,0,0,0,1.11
3Month,0.1,3.12,0.31,24.44,0.1,0,0.83,0.52,0.21,13.31,8.11,2.6,2.5,4.68,1.14,12.48,3.33,8.32,1.77,1.04,4.78,0.21,0.1,0.73,0.62,0.1,0.62,20.08,0.1,0,0,0.21,2.5,3.54,20.6
22Month,0,1.37,0,6.42,0,0,0,0.14,0.27,0.68,1.91,0,0.14,0.96,0,0.82,0.96,1.37,0.14,0.14,0,0,0.14,0.14,0,0,0,1.23,0,0,0,0,0.14,0,0
