stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,1.69,0,0.56,0,0,0,0,0.85,0.56,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.44,0.37,0,0.37,0,0,0,0,0,0,0,32.19,3.33,0,0.74,0,0,0.37,0,1.48,1.11,0,0.37,0,0,0,0.37,0.37,0.37,0,0,0
3Month,0.1,0.42,0.42,23.61,0,0.31,0.31,2.39,1.04,1.04,3.33,1.35,0.1,1.87,68.96,4.68,1.04,0.62,0.42,0.1,0.52,0.52,0.21,0,0.42,0.1,0.73,3.43,0.21,0,0,0,0.62,1.04,0.73
22Month,0,0.41,0,11.07,0,0,0.14,2.05,0.55,0.14,3.28,0.27,1.09,0.68,9.57,3.42,0.55,0.55,0,0,0,0,0,0,0.14,0.14,0.14,0.55,0.14,0.14,0,0,0,0,0.14
