stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,5,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0.74,0,0,0,0.37,1.11
3Month,0.1,0,0.21,0.21,0.1,0,0.1,0.1,0,0,0,0,0,3.22
22Month,0.14,0,2.05,0.14,0,0.27,0,0.14,0,0,0.14,0.68,0,0.96
