stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0.56,1.41,0,0,0,0,0,0,0.28,0,0,1.97,0,0.85,0,0.28,0,5.36,2.54,0,1.41,0.28,0.56,0,0
21Day,0,0,4.44,0.37,0,0,0,0,0,0,0.37,0.74,1.85,0,1.11,0,0,0.37,2.22,0.74,0,1.11,0,0,0,0
3Month,0,0.31,0.52,0,0,0.1,0.31,0.21,0.21,0,0.42,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0.1
22Month,0,0,0,0,0,0.14,0.27,0.27,0,0,0.14,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0
