stage,Epithelial_cell,Erythrocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,11,1,0,0,0,0
72hpf,0,0,0,0,0.28,18.88,0,0.56,0,0.28,0
21Day,1.11,0.37,0,0.37,0,7.4,0,0,0,0,0
3Month,0,0,0.1,0.1,0,0.73,0,0,0.52,0,0.1
