stage,Cardiomyocyte,Endothelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.56,0,0.28,0,5.92,0.28,0,0.56,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.37,0,1.85,0.37,0,0,0,0,0.37
3Month,0,0,0.1,0.31,0,0,0.21,0.21,0,0,0,0,0.1,0,0.1,0.1,0
22Month,0,0,0,0.41,0.14,0.14,0,0,0,0.27,0.14,0,0,0,0.41,0,0
