stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0.1,0.31,0.94,4.16,0.1,0.52,0,0.1,10.92,0.21,0,1.35,0.94,0,40.67,0.1,1.04,0.42,0.83,0.21,0,0.42,0.1,0,0,0,0,0,0.21,0.21,1.35,0,0.1,3.95,0.83
22Month,0,1.23,10.11,6.97,0,0.55,0.14,0,7.11,1.23,0.96,9.16,0.82,0.27,81.58,0.27,0.27,0.55,0.68,0.14,0.82,0.41,0,0.55,0,0.27,0.68,0.14,0.14,0,1.37,0.14,0,0,0
