stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0,0.28,1.13,3.1,0,0.85,0.28,0.56,0.28,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0.74,0,0.74,0,0.37,0,0.37,0
3Month,0,0,0.31,0,0,0,0.62,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0.1
22Month,0,0.27,0.14,0,0.27,0.14,4.37,0,0.27,0.27,0.14,0.14,0.14,0,0,0,0.14,0,0,0.27,0,0,0
