stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,2.82,1.41,0.28,0,0,0
21Day,0.74,0.74,0.37,0,0.74,0,0,0,0.37,0,0.37,1.11,1.11,0.37,0.37,0.74,0,0.74
3Month,0,0.73,0,0,0,0.21,0.21,0.21,0,0.21,0.1,0.21,0,0,0,0,0,0
22Month,0,0,0,0,0,0.27,1.37,0,0.27,0,0.14,0.14,0,0,0,0,0,0
