stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,3.66,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,2.22,0,1.85,0,0.37,0,1.85,0,0,0.74,15.91,0,0.37,0.37,19.24,1.85,0,0,0,0,1.11,0,0,1.11,1.48,0,0,0,0.37,0,0,21.09
3Month,0.31,0.94,3.22,0.21,0,0.94,0,0.73,19.56,0,3.54,22.88,1.14,1.35,0.42,0.83,51.38,2.29,0.31,0,0.31,0.31,0.21,0.1,0.42,0.1,1.04,0.21,1.35,0.1,0,0.21,0.94,92.58
22Month,0,0.14,0.96,0,0,0,0,0,19.4,0.27,3.96,7.79,0.68,0.41,0.14,0.27,32.66,0.96,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,22.82
