stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0.28,0,0,0,0
21Day,0.74,0,0,0,0,0.37,0,0,5.18,0,0.37,15.17,0,0,0,0,0,0.37,0,0,0.37
3Month,0,0,0.1,0.1,0.21,0.52,0.52,2.39,0,0.1,0.1,14.87,0.1,0.1,0.1,0.1,0,0,0.1,0.21,0.52
22Month,0,0.14,0.55,0,0,0.27,1.78,0.27,0.14,0.14,0,4.51,0.14,0,0,0,0,0.14,0,0,0.14
