stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0.74,0,0,1.11,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0.74
3Month,0.1,0.21,0.21,0.94,0,0.42,0.94,1.35,6.45,0.1,1.35,0.1,0.42,0.94,0.31,0.1,0.1,0.31,0.1,0.31,0.21,0.31,1.35,0,0.1,16.23,6.87
22Month,0,0,0.14,0.41,0,0,2.87,4.37,1.64,0.14,0.55,0,0,0.96,0.27,0,0,0,0,0.14,0.14,0,0.14,0,0,0.14,1.23
