stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,7,0,0,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,1.13,4.23,0,0,0.56,0,0
21Day,0,0.37,1.11,0,0,0,0,0,0,0,0,0,0.37,0,6.66,2.22,0.37,0,2.59,0.74,0,0.37,0,0
3Month,0,0.1,2.29,0,0,0.1,0,0,0.83,0.21,0.1,0.1,2.29,0.1,1.46,0.21,0,0,0.21,0,0.1,0,0.21,0.1
22Month,0,0,0.27,0.41,0.14,0.14,0.14,0.14,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0.14,0
