stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0,0.56,0,0,0,0,0.28,0,0.28,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.31,0.73,0.1,0,0.21,0,0.21,0,0.1,0.1,0.1,0,0,0.31,3.12,0.1
22Month,0,0.55,2.19,0,0,0,0.27,0.14,0.27,0,0.14,0,0.14,0,0,0,0
