stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,17.76,0.56,0,0.85,0,0,0.28,0,0
21Day,0,0.37,0.37,0,0,0,0,0.37,0,0.37,0,2.22,21.09,0,0,0,0.37,0,0.37,0,0.37
3Month,0.42,0,0,0,0.21,0.1,0.1,0.21,0,0.31,0.62,1.25,5.2,0,0.21,0,0,1.87,0.1,0.1,0.31
22Month,0.55,0,0,0.14,0.14,1.78,0,0.68,0.14,0.27,0.55,0.41,1.23,0,0,0,0,1.64,0,0,0
