stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0,11.84,0.56,0.56,0,0,0,0,0
21Day,0.37,0,0,0,0,0.37,0,0,0,0,1.85,0,0.37,0.37,0,0,0,0
3Month,0,0.1,0,0.31,0.1,0,0.21,0.1,0,0,0,0,2.18,0,0.1,0.21,0.1,0
22Month,0,0,0.14,0.68,0,0,0,0,0.14,0.14,0,0,0.96,0,0.14,0,0,0.14
