stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.69,3.1,19.17,0,0,0,0,0,0.28,0,0,0,15.22,9.58,0,0.28,0,1.41,0,0,7.05,1.97,0.28,0.28,3.1,0,0,0.56,0,0,0,0
21Day,0.74,0,0.37,8.51,1.11,59.57,0,0.74,0,0,0,0,0,0,0.37,41.44,9.62,1.11,3.33,0,0,0,0,15.91,0.74,0,0.37,0.37,1.48,0,0,0.74,1.48,0,0.37
3Month,0.1,0.21,0.21,2.7,0,0,0.21,0,0.1,0.62,0,1.66,0.52,0.1,0.73,49.62,3.33,0.62,1.46,0.1,0,0.31,0.31,0.21,0.1,0,0.21,0.1,0.1,0.42,0,0,0,0.1,0.31
22Month,0,0.14,0,0.55,0,0,0,0,0,0.41,0.41,2.32,0,0.14,0,2.73,1.37,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.14
