stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0.28,0.85,0,1.13,0,0,0,0,2.54,1.97,0,0,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.74,0,0.74,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0
3Month,0,0.1,0,1.56,0,0,0.1,0.21,0.21,0,20.49,0.52,0,1.98,0,0.62,0.73,0.52,0.21,0,0.62,0.1,0,0,0,0,0,0.1,0.21,0.94,0,0,0.21,0.21,0.21
22Month,0,0.68,0.55,1.37,0,0.27,0,0,1.37,0.82,60.26,0.27,0.27,2.87,0,0.55,2.19,1.37,0.14,2.6,0.27,0,0,0,0.14,0.14,0.14,0,0.14,0.55,0.14,0,0.27,0,0.14
