stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0.28,1.41,0,0,0,0,0,0,0,0,0,0.85,4.51,0.56,2.54,0.85,0,0.28,229.99,30.44,0.56,0,3.38,0,1.13,1.97,0.56,0.56,0,0
21Day,0,2.22,0,1.48,0,0.37,0,0,0,0,0,0.37,0.37,0,2.59,0.37,2.59,0,0,0,62.16,15.54,0,0.37,1.11,2.59,1.85,0.37,1.11,0.37,0,0
3Month,0,1.66,0,0,0.1,0,0.42,0.62,0,3.22,1.87,0.21,0.73,0,0.62,0.42,0.73,0,0.1,0,0.42,0,0.42,0,0,0.21,11.75,0,0,0,3.12,0
22Month,0,1.09,0,0,0.27,0,0,0.55,0.41,14.48,0.14,0.14,0.96,0,0.68,1.09,0.82,0.55,0,0,0.27,0,0.55,0,0,0.14,18.99,0,0,0,0,0.27
