stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,1.41,0.28,0.56,0,0,0,0,0,0,0,0.28,0.28,0.28,0,66.8,6.48,0.28,0.28,0.56,0,0,3.66,0,0,0,0
21Day,0.37,0,2.59,0,0.37,0,0,0,0,0.37,0,0.37,1.85,0,4.44,0,32.56,8.14,0,0.37,0.74,1.11,0,1.85,0.74,0,0,0
3Month,0,0.21,2.91,0,0,1.98,0,1.04,0,0,0.1,0,0.1,0.21,0.62,0.21,0.31,0,0,0.94,0,0.1,1.04,0.21,0,0.31,0.1,0.1
22Month,0,0.27,0.82,0,0,0.96,1.91,2.32,0.14,0,0.27,0,0,0.14,0.27,0,0.27,0,0,0.82,0.14,0,0.41,0.27,0,0,0,0
