stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,2,2,0,0,0,9,0
72hpf,0.28,0.28,0,0,0,0,0,0.56,0,0,1.41,0.56,0
21Day,0.74,0,0.37,0,0,0,0,0.37,0,0,0.74,0,0.37
3Month,0.1,0,0,1.14,0.1,0.1,0,0.1,0,0.1,0,0,0
22Month,0.27,0,0,3.01,0.14,0.27,0,0.14,0.14,0,0,0,0
