stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,0,1.13,0,0,0,0.56,0,0,1.69,0,0,0,0,0
21Day,1.11,0.37,0.74,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0.74,0,0,0,0.74,0,0,2.96,0,0,0.37,0,0
3Month,0,0.1,0.94,0,0.42,0.31,0,5.1,0.1,0,0.21,0,0,0.1,1.04,0.1,0.1,0.1,0,0,0.1,0,0.21,0.21,0,0,0.1
22Month,0,0.55,0.41,0,0.14,0.27,0.14,3.69,0.14,0.14,0.41,0,0,0.27,0.96,0,0.14,0,0.14,0.14,0,0,0,0,0,0.14,0.27
