stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0,0.28,0,0,0.28
21Day,0.74,0.37,0,0,0.37,17.02,0.37,0.37,0.37,0,0.74,0,0,0,0.74,0.74,2.96
22Month,0,0,0.14,0.14,0,0,0,0,0.14,0.14,0,0,0.14,0,0,0,1.09
