stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0.28,0,0.28,0,0.28,0
21Day,0,0,0,0,0,0,0,0,1.85,0,0,0.74,0.37,0,0.37
3Month,0,0.1,0.1,0.1,0,0.21,0.1,0.1,0.1,0,0.1,0,0,0,0
22Month,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0
