stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.56,0,0.85,0,0,0,0,0,0,0.56,0,0.56,0.28,0,1.41,0.28,0,6.2,3.38,0,0,1.41,0,0,0.56,0,0,0,0,0
21Day,0,0,0.37,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0,0,1.48,0.37,0,3.33,0.37,0,0,0,0,0,0,0.37,0,0,0,0.74
3Month,0.1,0.42,0.21,4.58,0.1,0,0.83,2.08,0,0,4.58,0.94,0.1,2.08,0.1,2.7,0.1,1.14,0.42,0.42,0.1,0.1,0.21,0.73,0.1,0.42,3.64,0,0,0.1,0.62,42.96,1.04
22Month,0,0.41,0.14,0.68,0,0,0,1.64,0.14,0,6.01,0.14,0.27,0.68,0.14,0.14,0.82,0.41,0,0,0.14,0,0,0.41,0,0,0.27,0,0.14,0,0,0,0.14
