stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0,2.25,0.28,0,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,1.48,0,0,1.85,0,0,0,0.37,0.37,0,0
3Month,0.62,0.1,0.21,0.73,0.1,0.21,0.1,0.31,0.1,0.1,0.1,0,0,0.21,13.73,0,2.5,0
22Month,0.14,0,0.27,0.14,0,0,0,0,0,0.14,0,0,0.14,0,1.64,0,0,0.14
