stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0
72hpf,0.56,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,1.13,0.28,0,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0.37,0,0,0.37,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0.21,0.21,0,0.52,0,0,0.1,0.42,4.06,0.52,0.21,0.31,0,0.42,0.62,0.21,0.1,0.1,0.1,0,0.1,0,0,0.1
22Month,0,0.41,0.41,1.78,0.14,0,0.68,4.92,16.94,4.24,0.14,3.83,0.27,0.41,1.23,1.09,0.55,0.55,0.27,0,0.14,0.14,0.55,0.14
