stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,1,0,2,0,0,1,0,0,0,0,1,0,12,0,0,88,95,0,0,0,0,0,0,0
72hpf,1.41,0.28,0.85,0.28,0,0,0,0,0,0,2.54,0,0.85,0,0,82.02,7.61,0,0.85,0,0,1.97,0,0
21Day,0.37,0,1.11,1.48,0.37,0,0,0.37,0.37,0,0.37,0,0,0,0,20.35,3.33,0,0,0.74,0.37,0.37,0.37,0
3Month,0,0.1,0.21,0,0,0,0.83,0,0,0.21,0.21,0.1,0.1,0,0.1,0,0,0.1,0,0.1,0.42,0,0,0.42
22Month,0,0.41,0.27,0,0.27,0,2.05,0.55,0,0.14,0,0.14,0.14,0.14,0,0,0,0,0,0,0.96,0,0,0
