stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,3,0,11,0,0,0,0,0,0,0,1,0,0,0,1,4,4,12,27,0,0,0,1,32,193,0,0,1,0,0,0,0,0,3,0,0,0
72hpf,1.13,1.41,0,1.13,1.13,1.41,0,0,0,0,0,0.28,0.28,0,0,0.28,2.82,2.25,1.13,5.64,0,5.92,0,1.13,156.99,23.96,0.28,0.56,4.51,0.56,0.56,3.95,7.05,1.97,3.38,0,0,0
21Day,1.11,0.37,2.59,4.07,0,2.22,0,0,0,0.37,0,0,0.37,0,0.74,0.37,0.37,1.11,5.55,8.14,0,0.37,0.37,0,37,14.06,0,1.11,4.81,1.48,1.11,5.18,1.11,1.48,0.37,0,0,0.37
3Month,0,0.21,0.52,4.89,0.1,0,0.1,0.1,2.29,0,0,0,32.66,1.35,0.21,2.81,0.42,3.54,5.51,2.18,0.1,0,0.83,0.73,1.25,0,0.83,0.83,0.1,0.52,20.28,0.21,0.1,0,0,1.56,0.83,0.94
22Month,0,1.64,1.23,3.28,0.14,0,0,0,1.09,1.09,1.37,0,39.9,0.14,0,3.42,0.41,0.68,5.6,2.05,0.14,1.09,0.96,0,1.23,0.14,0.96,1.64,0.14,0.14,7.79,0.41,0.14,0,0.14,0.14,0.14,0.14
