stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0.28,2.54,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,2.59,0.37,0.37,0,0,0,0,0,0.37,0.37,0,1.11,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0.1,4.68,0,0.1,0.52,0.1,0,1.56,0.31,0,1.77,0.83,1.14,0.1,0.21,0.1,0.1,0.21,0.21,0,0,0.1,0.62,0,0.1,0.21,0.1
22Month,0,0.41,0,0,0,0,0,3.96,0,0,1.09,0.27,0,0.14,0,0,0,0.14,0.14,0.14,0,0,0.82,0,0,0,0
