stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,1.13,0,0.56,0,0,0.28,1.13,0.28,0,0,0.56,0,0,0,0
21Day,0.37,0,0,9.99,0.37,0,0,0.74,0,0,0,0,4.81,0.37,1.48,0,0,0.37,0.37,0,0.37,0,0,0,0,0,0.37
3Month,0,0.1,0.21,0.83,0,0,0.21,4.99,0.1,0.1,0.1,0,0.52,1.46,0.62,0.21,0,0,0,0,0.1,0,0,0,0.1,0,0.21
22Month,0.27,0.27,0,0.96,0,0.55,1.5,13.12,1.09,0.14,0.68,0.14,0.41,1.09,2.6,0,0.82,0.14,0.14,0,0,0.27,0,0.14,0.14,0.14,0
