stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,1,2,0,0,0,0,0,0,0,0,4,0,2,22,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.85,1.41,0,0,0.28,1.41,1.41,0.56,0,0.28
21Day,0.37,0,0.37,0.74,0,0,0,0.37,0.37,0,0.37,1.85,0.37,1.48,1.11,0.74,0,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0
22Month,0,0,0.14,0,0.14,0.41,0.14,0,0,0,0.27,0.41,0,0,0,0,0,0
