stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0
21Day,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,1.85,0.37,0,0
3Month,0,0.1,0.1,0.31,0,0.73,0,0.94,0.1,0.31,0.21,0,0,0.83,0.1,0,0,0,0.1
22Month,0,0,0,0.96,0,0.41,0.14,2.46,0,1.91,0,0.27,0.14,0.41,0,0.14,0,0.14,0
