stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0.28,7.05,0,0,0,3.66,3.66,0,0,4.51,0,0,0.28,0,0.28,0,0,0
21Day,0.74,0,0,2.96,0.37,0.74,0,0.74,0,0,0.37,0,0,0,0.74,0.37,0.37,1.48,0,12.58,0,0,0.37,1.85,1.85,0,0,0.37,0.37,0,0.37,0.37,0,0,0,0.37
3Month,0,0.1,0,1.25,0,0,0.1,0,0.21,0.42,0.62,0,4.26,0.21,0.21,0.31,0,0.1,0.42,4.89,0.52,0,0.31,0.1,0,0,0,0,0.42,11.55,0.21,0,0,0.52,2.91,0.21
22Month,0.14,0.14,0.14,1.37,0,0,0.14,0.14,0,0,1.09,0.27,12.03,0.55,0,0.41,0.14,0.14,0.82,2.19,0.55,2.05,0.27,0.14,0,0.14,0.14,0,0,1.5,0.14,0,0,0,0.14,0.14
