stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oocyte,Osteoblast
24hpf,0,0,0,1,4,9,0,0
72hpf,0,0,0.28,0,0,0,0,0.28
22Month,0.14,0.14,0,0.14,0,0,6.83,0
