stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,2.25,1.97,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,3.7,0,0,0.37,0.37,0,0.37,5.18,0,0,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0.1,0.21,1.87,0,0.1,0.1,25.38,0,0.21,0.21,0,0.21,1.14,14.25,0,0,0,0.1,0,0,0,0.1,0.31,0,0.21,0
22Month,0,0.27,0.14,0,0,0,16.4,0.14,0.96,0.41,0,0,0,44,0.41,0.27,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14
