stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0,0,0,0,0,0,0,0,0,0.28,2.54,0,0,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.74,0,1.11,0,0,1.11,0.74,0.37,0,0.37,0.74,0,0,0.74,0,0.37,0,0,0,0
3Month,0.1,0.21,0.1,3.64,0.1,0.21,0,0.21,0,1.35,0.1,0,0.42,0.21,1.98,0.73,2.5,0.52,0,0.94,0.21,0.1,0.1,0.1,0,0.21,0.42,0,0.1,0,0,0.42,1.25,0.21
22Month,0,0.41,0,1.37,0,0.14,0.14,0.55,0.41,5.47,0,0.14,0.96,0.14,0.55,0.27,1.64,0,0.27,0.27,0,0,0,0,0,0,0.55,0.14,0,0,0.14,0,0,0.14
