stage,Endothelial.cell,Enterocyte,Epithelial.cell,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Granulosa.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Neural.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cell,Smooth.muscle.cell,T.cell
72hpf,0,0,0.281848056003223,0.281848056003223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12739222401289,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739973720528564,0,0,0,0,0,0,0,0,0
3Month,0,0,0.520085033223363,0,0.104017006644673,0.104017006644673,0,0.104017006644673,0,1.66427210631476,0.312051019934018,0.104017006644673,0.312051019934018,0,0.520085033223363,0.208034013289345,0.936153059802054,0.104017006644673,0,0,0,0.520085033223363,0,0,0,0.208034013289345,0,0,0,0.728119046512708
22Month,0.273298863976266,0.409948295964399,2.8696380717508,0,0.136649431988133,0,0.273298863976266,2.73298863976266,0.546597727952532,12.7083971748964,0.273298863976266,0,2.73298863976266,0.409948295964399,0.273298863976266,0.819896591928799,1.91309204783386,0.136649431988133,0.546597727952532,0.136649431988133,0.136649431988133,0.273298863976266,0.273298863976266,0.273298863976266,0.136649431988133,0.409948295964399,0.136649431988133,0.136649431988133,0.136649431988133,0.273298863976266
