stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,8,1,0,0,0,0,0,0,0,0,0,1,11,0,0,0,12,136,0,0,1,0,0,0,0,0,1,0,0,0
72hpf,3.95,0.85,0,4.51,1.97,1.41,0,0,0,0,0,0,1.69,2.25,0,7.89,0,0,0,192.78,39.74,0.28,0.56,5.64,0,0,5.92,0.28,1.13,0.28,0,0,0
21Day,2.59,1.11,0,8.51,1.11,2.59,0.37,0,0,0.37,0,0.37,0.74,6.29,0.74,14.43,0,3.33,0,83.99,19.61,0.37,1.48,5.92,2.59,0,2.59,1.11,2.22,0.37,0,0,0
3Month,0,0,0.1,0.83,0,0,0,0.21,0,0.52,0.21,0.1,0.1,0.94,0.31,0.52,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0.31,0,0,0,0,0.31,0.1,0.42
22Month,0,0.27,0.27,0.41,0,0,0,0,0.27,3.42,0.14,0.14,0,0.41,0.27,0.96,0.14,0.55,0,0.14,0,0.41,0.27,0,0,0.27,0.14,0,0,0,0,0,0.14
