stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,2,3,4,0,0,0,1,19,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0.56,0.85,0,0,0,0,0,0,0,0.28,0,0.56,5.36,0.28,1.69,0,0.85,0,11.27,5.07,0.28,0.28,0.85,0.28,0,0.85,0.28,0.28,0,0,0
21Day,1.48,0.37,0,6.29,0,0.74,0.37,0,0.37,0,0,0.37,0,0.74,0,0.37,4.81,1.85,5.92,0,0,0,4.07,1.85,0,0.37,1.85,0.37,0,0.37,0,0,0.37,0,0
3Month,0,1.35,0.94,1.98,0,0,0,1.66,0.52,0,0,1.14,0.94,0.21,1.77,0.1,0.73,0.73,1.77,0.42,0,0.73,0.73,0,0.1,0,0.1,0.1,2.81,0,0,0,0.21,1.98,0.73
22Month,0,0.41,1.23,0.82,0,0,0,0.27,1.5,0.14,0,2.87,0.41,0.41,2.73,0.14,0,0.96,1.5,0.14,0.27,0,0.27,0,0,0.14,0.14,0,2.19,0.27,0,0,0,0.41,0.27
