stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0.28,0.28,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,8.51,0,0,0,0,0,0,0,0,0.37,0.37,2.22,1.11,0.74,0,0,2.22,0,0.37,0.37,0.37,0,0.37,0.37,0,0,0,0,0,0.74
3Month,0.1,0.1,26.73,0.1,0.21,0.21,0.73,0,1.87,0.62,0.1,1.14,10.61,4.58,3.74,0.94,0.31,0,11.86,0.42,0.62,0.21,6.24,0.1,0.1,0.1,0.73,0.31,0,0.52,0.21,8.63
22Month,0.14,0.41,23.91,0,0,0.27,0.55,0.14,4.78,0.55,0.55,0.96,2.6,1.23,1.5,1.09,0,0.41,11.89,0,0.27,0,5.6,0,0,0.41,0,0,0.27,0.14,0,12.57
