stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.52,2.39,0.1,0.62,0.1,0.52,0.31,2.91,0.1,0.42,0.1,0.21,0,0.21,5.1,0.1
22Month,0.14,0,0,0,0,0.41,0,0,0,0,0,0,0.14,0,3.83,0
