stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,13,2,0,20,1,0,0,0,2,0,0,0,0,2,6,8,23,0,0,16,2007,0,0,4,1,0,0,0,0,0,0,0
72hpf,7.05,0.85,0,4.51,0.85,7.33,0,0.85,0,0,0,0.28,0,1.41,11.56,1.41,7.61,1.13,0.28,119.79,363.58,0,0.56,7.89,0,0,121.48,0.28,0.56,1.13,0,0
21Day,1.48,0.74,1.11,7.77,0,8.14,0.74,0.37,0,1.11,0,1.11,2.96,1.11,4.44,1.48,8.51,0.37,2.59,58.09,200.53,0,1.11,2.22,8.88,0,24.42,0.37,2.59,1.11,0,1.11
3Month,0,0,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0.31,0,0,0,0,0.1,0,0,0,0,0.1,0
22Month,0,0,0,0.14,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0.14,0.41,0,0,0,0,0
