stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,0,0,0,0,0,0.28,0.56,2.54,1.41,0,0,0,5.07,2.25,0,12.68,0.28,0.56,0,0.28,0,0
21Day,1.85,0,0,4.81,0.74,0,0,0,0,0,0,9.99,2.22,16.28,0,0,0,1.11,1.11,0,9.62,1.11,0.37,0.37,0.37,0,0
3Month,0,0.31,0.21,0.94,0,0,0.21,0,0.73,0.1,0,0.1,2.81,5.93,0.42,0,0,0,0,0,0.1,0,0,0,0,0.21,0.31
22Month,0.14,0.82,0.55,0.68,0,0.14,1.64,2.19,4.37,0.14,0,0.14,12.98,18.17,0,0.14,0.27,0.14,0,0.14,0,0,0,0,0,0,0
