stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.85,0.28,0,0,0,0,0,0,0,0,0,1.13,0.28,1.13,0,0,0.28,5.64,0.28,0,0.85,0.28,0.28,0,0.28,0,0
21Day,0.37,0.37,3.7,0,0.37,0.37,0,0.74,0,0.74,0.37,0,0,2.59,0.37,1.11,0,0.37,0,2.22,0.74,0.37,1.48,0.37,0,0.37,0,0,0.37
3Month,0,0,0.21,0,0,0,0.1,0,2.08,0.1,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0
22Month,0,0.14,0,0,0,0,0,1.23,2.05,0.27,0.14,0.14,0.14,0,0.41,0.27,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0.14
