stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0.85,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0,2.22,0.74,0,0,0,0,0.37,0.37,0.37,0.74,0,0,0.37,1.48,0,0
3Month,0,0.21,0.21,0,0.1,0.52,0.1,0.21,0.1,0,0.21,0.21,0.1,0.83,0,0,0,0.21
22Month,0.27,0.41,0,0,0.27,1.91,0.14,0.41,0,0,0.41,0.14,0,0,0.14,0,0.14,0
