stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0.56,0,0,0,0,0,0.28,0,0,0,0,1.69,1.69,0,0.28,0,0,0
21Day,0.37,0.37,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0,0,0
3Month,0,0,0,0,0.1,0.42,0.1,0,0.21,0.1,0.1,0,0,0.1,0,0,0,0,0.21,0.42,0.21
22Month,0,0,0,0,0,1.23,0.14,0.14,0,0,0,0.27,0.14,0.14,0,0,0.14,0,0,0,0
