stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,1.69,1.97,0,0.28,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0.21,0.1,3.12,0,0.1,0.42,0.42,0.21,0,0.42,3.43,0.31,0.31,0.1,0,0.1,0,0.1,0.52,0,0.21,0.31,0.21
22Month,0,0,0.14,0,0,0,0.27,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
