stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Retinal_cone_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0.83,0,0.1,0,1.25,0.31,0.1,0.83,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0
22Month,0.14,0.27,1.5,0.14,0,0.41,3.42,0.82,0.14,3.96,0,0.27,0.68,0.27,0.14,0.14,0.14,0.14,0.41,0.14,0,0.14,0.14
