stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0,1.11,0,0.37,0.37,0.37,0,0,0,0.74
3Month,0.1,0.1,0.52,0,0.1,0,0.1,0,0,0.1,0.1,0.52
22Month,0,0,0.27,0,0,0,0.14,0,0,0,0,0
