stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.56,0.56,0,0.56,0,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0.37,0,0,2.22,0,0,0,0,0,0,0,0.37,0,0,1.11,2.22,0,0,0,0,0,0.74,0,0,0.37,0.37,0,0,0,0
3Month,0,0.1,0,2.81,0,0,0.21,0.31,0,3.64,0.21,0.1,0.21,0.42,0.21,0.73,0.83,0.1,0,0,0.1,0,0.1,0,0.1,0.21,0.52,0.1,3.12,0.52
22Month,0,0,0.27,1.78,0,0.14,0.27,1.64,0.55,10.66,0.27,0.14,0.96,0,0.55,1.09,0.82,0.14,0.41,0.14,0,0,0.27,0.14,0,0,1.09,0,0,0.14
