stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,1,23,13,3,0,0,0,1,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,32.13,3.38,0,0,0,0,1.13,0.56,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,4.81,0.37,0,0.37,0,0,0,0.37,2.22,0,0.37,2.96,3.7,1.11,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.1,0,11.03,0,0.1,0.1,0,0.1,0.73,3.54,0.1,0.62,0.94,0.52,16.43,0.21,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.62,0.1,0.21,0.21,0.21,0.31
22Month,0,0.27,0.14,0.82,0,0,0,0.41,0.14,5.74,3.01,0,10.25,0,0,5.47,0.41,0,0.14,0,0,0,0.14,0.14,0.14,4.37,0,0,0,0,0.41
