stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,5,1,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,9,58,1,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,14.66,3.1,0,7.33,2.54,8.17,0,0.85,0,0,0,0,5.92,21.98,1.69,32.69,0,0.56,1.13,0,1242.67,50.73,2.25,10.99,0,15.5,0.85,0,6.76,1.69,1.41,0.56,0,0,0
21Day,3.33,0.37,2.22,11.84,1.11,13.69,1.48,0,1.85,0.37,4.81,1.11,3.33,7.03,2.59,12.95,0,0,0.37,0.37,385.16,14.8,1.48,7.77,0,7.77,9.99,0.37,3.33,1.11,5.18,0.37,0,0,2.59
3Month,0,0,0.1,1.25,0,0,0,0.1,1.25,0.31,0.1,0.42,0.1,8.11,0.31,0.73,0,0,0,0,2.39,0.21,0.42,0.31,0,0,0,1.35,0,0,0,0,0.1,3.64,0.31
22Month,0,0.41,0,0.27,0,0,0,0.14,3.28,0.41,0.14,0.14,0,0,0.14,0.27,0.14,0,0,0,0.96,0.27,0.14,0.27,0.14,0,0,3.14,0.14,0,0,0,0,0,0
