stage,Endothelial_cell,Erythroid_progenitor_cell,Fibroblast,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,0.56
21Day,0,0.37,0,0,0,0.37,1.11,0.37,0.37
3Month,0,0,0.1,0.1,0,0,0,0,0
22Month,0.14,0,0,0.41,0.14,0,0,0,0
