stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.41,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.85,0.56,0,0,0,0,0.28,0.28,0,0,0
21Day,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.42,0.1,4.58,0.52,0.21,0.1,0.21,0.94,6.87,1.46,1.87,1.56,0.73,1.14,1.25,0.31,0.31,0.52,0.21,0,0.42,0.21,0.94,5.51,0,0.21,0.52,214.59,1.04
22Month,0,0,0,0.27,0,0,0.14,0,0,0.55,0,0.41,0,0,0.14,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0.55,0
