stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0.1,0.1,0.31,0.1,0,0.1,0.1,0,0.1,0,0.83,1.14
22Month,0,0,0.27,0,0.14,0,0,0,0,0,0,0
