stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,3,26,1,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0.28,0.28,0,0,0,0,0.56,0,0,1.41,0,0,10.15,5.92,0,0.85,0,0,0,0.28
21Day,0,0,0.74,0,0.74,0,0,0,0,0,0,0.37,0,1.85,0.37,0,3.33,1.11,0,2.96,0.37,0,0,0
3Month,0,0,0.21,0,0,0.1,0.21,0,0.1,0.21,0,0,0.1,0,0,0.1,0,0,0,0,0,0.21,0,0
22Month,0,0.27,0.41,0,0,0,0,0.14,1.64,0.41,0,0,0,0,0,0,0,0,0,0,0,1.09,0.41,0
