stage,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.28,0,2.25,0.28,0.28,0.56,0
21Day,0.37,0.37,0.74,0.37,1.11,2.22,0.37,0,0,0.74
