stage,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,1,0,1,0
72hpf,0,0,0,4.79,0.56,0
21Day,0,0,0.74,1.48,0.37,0.37
3Month,0.1,0.1,0.1,0,0,0
22Month,0,0.55,0,0,0,0
